key,method,pca_components,neighbors,min_dist,seed,trustworthiness,knn_overlap,distance_spearman,population_silhouette,super_population_silhouette,outlier_jaccard,seed_disparity
umap_d25_s2024_n5_m0.1,UMAP,25,5.0,0.1,2024,0.9461725943582301,0.2394834930777423,0.7225949819556963,-0.10288143157958984,0.6484730243682861,0.07692307692307693,0.05813904371266151
umap_d25_s2025_n5_m0.1,UMAP,25,5.0,0.1,2025,0.9477949133328096,0.24552715654952076,0.6614497365425556,-0.09608426690101624,0.6592495441436768,0.08620689655172414,0.05813904371266151
umap_d25_s2026_n5_m0.1,UMAP,25,5.0,0.1,2026,0.9466326831523412,0.24512779552715652,0.6307011554270141,-0.09891412407159805,0.6686303615570068,0.08620689655172414,0.05813904371266151
umap_d25_s2024_n5_m0.5,UMAP,25,5.0,0.5,2024,0.9385962065692877,0.19677848775292864,0.7433412619264361,-0.08234351873397827,0.5725606679916382,0.08620689655172414,0.121659801866162
umap_d25_s2025_n5_m0.5,UMAP,25,5.0,0.5,2025,0.9381290459247469,0.19515441959531415,0.7062401289012693,-0.08019879460334778,0.5745261907577515,0.10526315789473684,0.121659801866162
umap_d25_s2026_n5_m0.5,UMAP,25,5.0,0.5,2026,0.9374226013334999,0.1947018104366347,0.7305811386878837,-0.08183551579713821,0.5664886832237244,0.10526315789473684,0.121659801866162
umap_d25_s2024_n15_m0,UMAP,25,15.0,0.0,2024,0.9513153963734606,0.24579339723109692,0.6532291293610366,-0.10028590261936188,0.7143229842185974,0.11504424778761062,0.07751637699540398
umap_d25_s2025_n15_m0,UMAP,25,15.0,0.0,2025,0.9515361261025755,0.24158679446219386,0.7476276235525481,-0.10688663274049759,0.7098917365074158,0.08620689655172414,0.07751637699540398
umap_d25_s2026_n15_m0,UMAP,25,15.0,0.0,2026,0.9506737574039805,0.24440894568690097,0.6016048883079621,-0.10024560242891312,0.7030625939369202,0.10526315789473684,0.07751637699540398
umap_d25_s2024_n15_m0.1,UMAP,25,15.0,0.1,2024,0.9491209443098754,0.22917997870074547,0.598066888752687,-0.08949850499629974,0.6861611008644104,0.08620689655172414,0.29796985720245395
umap_d25_s2025_n15_m0.1,UMAP,25,15.0,0.1,2025,0.9493864230773689,0.23093716719914803,0.5353941686605146,-0.09558548778295517,0.6971878409385681,0.10526315789473684,0.29796985720245395
umap_d25_s2026_n15_m0.1,UMAP,25,15.0,0.1,2026,0.9488419335190258,0.23309371671991483,0.7429954739776543,-0.10212863236665726,0.7063875794410706,0.09565217391304348,0.29796985720245395
umap_d25_s2024_n15_m0.5,UMAP,25,15.0,0.5,2024,0.9414171559013572,0.18575612353567625,0.5276484378498012,-0.07514871656894684,0.5950412154197693,0.09565217391304348,0.2858194206635206
umap_d25_s2025_n15_m0.5,UMAP,25,15.0,0.5,2025,0.9418920322673834,0.19052183173588924,0.6454128233692569,-0.07627933472394943,0.6141859292984009,0.125,0.2858194206635206
umap_d25_s2026_n15_m0.5,UMAP,25,15.0,0.5,2026,0.9419202445508119,0.19116080937167199,0.6138331521468336,-0.07724464684724808,0.6120169758796692,0.10526315789473684,0.2858194206635206
